Year,Month,Work Type,Value
2012,Aug,Repair & Maintenance - Housing - Public,1408
2012,Aug,Repair & Maintenance - Housing - Total,2168
2012,Aug,Repair and Maintenance - Non Housing R&M,2080
2012,Aug,All Repair and Maintenance,4248
2012,Aug,All Work,11014
2012,Sep,New Housing - Public,382
2012,Sep,New Housing - Private,1562
2012,Sep,Total Housing,1945
2012,Sep,Other New Work - Infrastructure,1397
2012,Sep,Other New Work - Excluding Infrastructure - Public,1019
2012,Sep,Other New Work - Excluding Infrastructure - Private Industrial,372
2012,Sep,Other New Work - Excluding Infrastructure - Private Commercial,2066
2012,Sep,All New Work,6798
2012,Sep,Repair & Maintenance - Housing - Private,775
2012,Sep,Repair & Maintenance - Housing - Public,1374
2012,Sep,Repair & Maintenance - Housing - Total,2149
2012,Sep,Repair and Maintenance - Non Housing R&M,2101
2012,Sep,All Repair and Maintenance,4250
2012,Sep,All Work,11049
2012,Oct,New Housing - Public,383
2012,Oct,New Housing - Private,1557
2012,Oct,Total Housing,1940
2012,Oct,Other New Work - Infrastructure,1415
2012,Oct,Other New Work - Excluding Infrastructure - Public,1010
2012,Oct,Other New Work - Excluding Infrastructure - Private Industrial,382
2012,Oct,Other New Work - Excluding Infrastructure - Private Commercial,2124
2012,Oct,All New Work,6871
2012,Oct,Repair & Maintenance - Housing - Private,768
2012,Oct,Repair & Maintenance - Housing - Public,1393
2012,Oct,Repair & Maintenance - Housing - Total,2161
2012,Oct,Repair and Maintenance - Non Housing R&M,2089
2012,Oct,All Repair and Maintenance,4250
2012,Oct,All Work,11121
2012,Nov,New Housing - Public,382
2012,Nov,New Housing - Private,1582
2012,Nov,Total Housing,1964
2012,Nov,Other New Work - Infrastructure,1403
2012,Nov,Other New Work - Excluding Infrastructure - Public,987
2012,Nov,Other New Work - Excluding Infrastructure - Private Industrial,378
2012,Nov,Other New Work - Excluding Infrastructure - Private Commercial,2143
2012,Nov,All New Work,6875
2012,Nov,Repair & Maintenance - Housing - Private,775
2012,Nov,Repair & Maintenance - Housing - Public,1409
2012,Nov,Repair & Maintenance - Housing - Total,2184
2012,Nov,Repair and Maintenance - Non Housing R&M,2188
2012,Nov,All Repair and Maintenance,4372
2012,Nov,All Work,11247
2012,Dec,New Housing - Public,396
2012,Dec,New Housing - Private,1550
2012,Dec,Total Housing,1946
2012,Dec,Other New Work - Infrastructure,1355
2012,Dec,Other New Work - Excluding Infrastructure - Public,947
2012,Dec,Other New Work - Excluding Infrastructure - Private Industrial,397
2012,Dec,Other New Work - Excluding Infrastructure - Private Commercial,2148
2012,Dec,All New Work,6793
2012,Dec,Repair & Maintenance - Housing - Private,754
2012,Dec,Repair & Maintenance - Housing - Public,1438
2012,Dec,Repair & Maintenance - Housing - Total,2192
2012,Dec,Repair and Maintenance - Non Housing R&M,2107
2012,Dec,All Repair and Maintenance,4300
2012,Dec,All Work,11093
2013,"Jan ",New Housing - Public,389
2013,"Jan ",New Housing - Private,1521
2013,"Jan ",Total Housing,1910
2013,"Jan ",Other New Work - Infrastructure,1331
2013,"Jan ",Other New Work - Excluding Infrastructure - Public,897
2013,"Jan ",Other New Work - Excluding Infrastructure - Private Industrial,374
2013,"Jan ",Other New Work - Excluding Infrastructure - Private Commercial,2155
2013,"Jan ",All New Work,6668
2013,"Jan ",Repair & Maintenance - Housing - Private,728
2013,"Jan ",Repair & Maintenance - Housing - Public,1426
2013,"Jan ",Repair & Maintenance - Housing - Total,2154
2013,"Jan ",Repair and Maintenance - Non Housing R&M,2096
2013,"Jan ",All Repair and Maintenance,4250
2013,"Jan ",All Work,10918
2013,"Feb ",New Housing - Public,393
2013,"Feb ",New Housing - Private,1648
2013,"Feb ",Total Housing,2040
2013,"Feb ",Other New Work - Infrastructure,1342
2013,"Feb ",Other New Work - Excluding Infrastructure - Public,977
2013,"Feb ",Other New Work - Excluding Infrastructure - Private Industrial,371
2013,"Feb ",Other New Work - Excluding Infrastructure - Private Commercial,2146
2013,"Feb ",All New Work,6876
2013,"Feb ",Repair & Maintenance - Housing - Private,749
2013,"Feb ",Repair & Maintenance - Housing - Public,1453
2013,"Feb ",Repair & Maintenance - Housing - Total,2202
2013,"Feb ",Repair and Maintenance - Non Housing R&M,2161
2013,"Feb ",All Repair and Maintenance,4364
2013,"Feb ",All Work,11240
2013,"Mar ",New Housing - Public,395
2013,"Mar ",New Housing - Private,1596
2013,"Mar ",Total Housing,1991
2013,"Mar ",Other New Work - Infrastructure,1356
2013,"Mar ",Other New Work - Excluding Infrastructure - Public,983
2013,"Mar ",Other New Work - Excluding Infrastructure - Private Industrial,348
2013,"Mar ",Other New Work - Excluding Infrastructure - Private Commercial,2171
2013,"Mar ",All New Work,6849
2013,"Mar ",Repair & Maintenance - Housing - Private,732
2013,"Mar ",Repair & Maintenance - Housing - Public,1464
2013,"Mar ",Repair & Maintenance - Housing - Total,2196
2013,"Mar ",Repair and Maintenance - Non Housing R&M,2181
2013,"Mar ",All Repair and Maintenance,4376
2013,"Mar ",All Work,11226
2013,Apr,New Housing - Public,394
2013,Apr,New Housing - Private,1620
2013,Apr,Total Housing,2014
2013,Apr,Other New Work - Infrastructure,1320
2013,Apr,Other New Work - Excluding Infrastructure - Public,973
2013,Apr,Other New Work - Excluding Infrastructure - Private Industrial,319
2013,Apr,Other New Work - Excluding Infrastructure - Private Commercial,2116
2013,Apr,All New Work,6742
2013,Apr,Repair & Maintenance - Housing - Private,747
2013,Apr,Repair & Maintenance - Housing - Public,1471
2013,Apr,Repair & Maintenance - Housing - Total,2218
2013,Apr,Repair and Maintenance - Non Housing R&M,2055
2013,Apr,All Repair and Maintenance,4273
2013,Apr,All Work,11015
2013,May,New Housing - Public,410
2013,May,New Housing - Private,1688
2013,May,Total Housing,2098
2013,May,Other New Work - Infrastructure,1316
2013,May,Other New Work - Excluding Infrastructure - Public,1007
2013,May,Other New Work - Excluding Infrastructure - Private Industrial,315
2013,May,Other New Work - Excluding Infrastructure - Private Commercial,2168
2013,May,All New Work,6903
2013,May,Repair & Maintenance - Housing - Private,716
2013,May,Repair & Maintenance - Housing - Public,1505
2013,May,Repair & Maintenance - Housing - Total,2222
2013,May,Repair and Maintenance - Non Housing R&M,2194
2013,May,All Repair and Maintenance,4416
2013,May,All Work,11319
2013,June,New Housing - Public,410
2013,June,New Housing - Private,1776
2013,June,Total Housing,2185
2013,June,Other New Work - Infrastructure,1406
2013,June,Other New Work - Excluding Infrastructure - Public,975
2013,June,Other New Work - Excluding Infrastructure - Private Industrial,324
2013,June,Other New Work - Excluding Infrastructure - Private Commercial,2175
2013,June,All New Work,7065
2013,June,Repair & Maintenance - Housing - Private,700
2013,June,Repair & Maintenance - Housing - Public,1519
2013,June,Repair & Maintenance - Housing - Total,2219
2013,June,Repair and Maintenance - Non Housing R&M,2214
2013,June,All Repair and Maintenance,4433
